1.08e+04,7.08e+01,1.01e+02,6.52e-01,1.40e+02,1.63e+00,7.54e-01,6.54e-01,7.56e+01,8.71e+01,1.03e+02,1.30e+01,1.40e+01
1.09e+04,5.41e+01,9.98e+01,6.53e-01,1.40e+02,5.55e+01,7.54e-01,7.23e-01,8.29e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.11e+04,6.70e+01,2.92e+02,6.51e-01,1.40e+02,2.52e+02,7.54e-01,7.04e-01,7.71e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.13e+04,8.12e+01,1.56e+01,6.54e-01,1.40e+02,2.86e-01,7.54e-01,6.85e-01,8.31e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.15e+04,6.89e+01,3.30e+00,6.55e-01,1.40e+02,8.25e-01,7.54e-01,7.10e-01,7.08e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.17e+04,5.86e+01,1.67e+02,6.60e-01,1.40e+02,4.83e+01,7.54e-01,7.89e-01,7.39e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.19e+04,6.36e+01,2.18e+02,7.01e-01,1.40e+02,2.85e+01,7.54e-01,8.04e-01,8.43e+01,8.71e+01,1.03e+02,1.30e+01,1.40e+01
1.21e+04,6.94e+01,6.04e+01,7.00e-01,1.40e+02,8.17e+00,7.54e-01,7.23e-01,7.80e+01,8.71e+01,1.03e+02,1.30e+01,1.40e+01
1.23e+04,8.16e+01,1.46e+01,6.75e-01,1.40e+02,8.19e+00,7.54e-01,6.89e-01,8.47e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.25e+04,8.22e+01,3.31e+01,6.62e-01,1.40e+02,2.66e+01,7.54e-01,6.96e-01,8.52e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.27e+04,7.29e+01,1.33e+00,6.64e-01,1.40e+02,3.22e+01,7.54e-01,7.58e-01,7.56e+01,8.71e+01,1.03e+02,1.20e+01,1.30e+01
1.29e+04,7.58e+01,7.07e+00,6.81e-01,1.40e+02,7.84e+00,7.54e-01,7.40e-01,7.66e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.31e+04,7.68e+01,2.66e+01,6.73e-01,1.40e+02,1.33e+02,7.54e-01,7.91e-01,8.22e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.32e+04,7.27e+01,6.69e+00,6.86e-01,1.40e+02,8.64e-01,7.54e-01,7.64e-01,7.51e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.34e+04,5.71e+01,2.14e+01,6.73e-01,1.40e+02,1.46e+02,7.54e-01,7.34e-01,6.47e+01,8.71e+01,1.03e+02,1.20e+01,1.40e+01
1.36e+04,7.36e+01,3.83e+01,7.48e-01,1.40e+02,9.14e-02,7.54e-01,7.79e-01,7.89e+01,8.71e+01,1.03e+02,1.30e+01,1.50e+01
1.38e+04,7.57e+01,7.81e+01,7.15e-01,1.40e+02,3.68e+01,7.54e-01,7.42e-01,8.70e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.40e+04,6.56e+01,2.22e+01,7.11e-01,1.40e+02,3.19e+01,7.54e-01,7.82e-01,7.63e+01,8.71e+01,1.03e+02,1.40e+01,1.70e+01
