2.44e+00,1.92e+01,1.80e+01
1.27e+01,1.71e+01,2.90e+01
1.62e+01,2.00e+01,2.70e+01
2.07e+01,2.18e+01,2.10e+01
1.76e+01,1.85e+01,2.50e+01
2.72e+00,1.86e+01,2.80e+01
1.38e+01,1.93e+01,2.90e+01
1.99e+01,2.15e+01,3.00e+01
1.94e+01,2.01e+01,2.90e+01
1.23e+01,2.11e+01,2.50e+01
5.95e+00,2.15e+01,2.50e+01
2.06e+01,2.14e+01,2.40e+01
8.30e+00,2.01e+01,2.00e+01
9.16e+00,2.06e+01,2.20e+01
5.21e-01,1.82e+01,3.00e+01
1.95e+01,2.43e+01,3.00e+01
1.74e+01,2.16e+01,1.50e+01
1.37e+01,2.01e+01,2.10e+01
7.40e+00,2.01e+01,2.70e+01
1.78e+01,1.94e+01,3.10e+01
1.63e+01,2.04e+01,2.70e+01
3.86e+00,2.13e+01,2.50e+01
1.35e+01,2.00e+01,2.30e+01
1.82e+01,2.14e+01,2.40e+01
1.53e+01,1.81e+01,2.00e+01
1.82e+01,2.01e+01,2.00e+01
1.77e+01,2.01e+01,3.30e+01
2.03e+01,2.37e+01,2.70e+01
1.78e+01,1.95e+01,3.20e+01
1.55e+01,2.23e+01,2.50e+01
1.95e+00,1.97e+01,1.60e+01
1.77e+01,1.95e+01,3.20e+01
1.10e+01,2.01e+01,1.60e+01
1.43e+01,2.02e+01,2.80e+01
1.75e+01,1.99e+01,2.60e+01
1.82e+01,2.01e+01,2.40e+01
1.56e+01,2.05e+01,2.90e+01
1.82e+01,2.21e+01,3.10e+01
2.10e+01,2.26e+01,2.30e+01
1.73e+01,2.50e+01,2.70e+01
1.83e+01,2.01e+01,3.10e+01
1.91e+01,2.05e+01,2.30e+01
2.03e+01,2.14e+01,2.80e+01
1.90e+01,2.03e+01,2.50e+01
8.52e+00,1.89e+01,1.60e+01
1.62e+01,2.01e+01,2.30e+01
1.35e+01,2.01e+01,2.20e+01
1.68e+01,2.01e+01,2.70e+01
1.11e+01,2.02e+01,3.30e+01
8.54e+00,2.01e+01,2.60e+01
2.30e+00,1.81e+01,3.00e+01
6.13e+00,1.75e+01,2.20e+01
1.35e+01,1.95e+01,1.80e+01
-3.35e-01,1.70e+01,2.20e+01
1.61e+01,1.98e+01,2.80e+01
2.06e+01,2.38e+01,2.90e+01
1.07e+01,1.98e+01,2.30e+01
1.82e+01,2.01e+01,2.80e+01
2.07e+01,2.51e+01,3.00e+01
7.82e+00,1.96e+01,2.30e+01
1.07e+01,1.89e+01,2.00e+01
9.12e+00,2.01e+01,2.10e+01
1.01e+01,2.39e+01,2.10e+01
4.63e+00,2.07e+01,2.40e+01
1.69e+01,2.04e+01,2.50e+01
1.25e+01,1.98e+01,2.00e+01
8.29e+00,1.86e+01,2.70e+01
1.04e+01,2.01e+01,2.90e+01
9.44e+00,2.01e+01,3.40e+01
1.24e+01,2.00e+01,2.10e+01
1.48e+01,2.01e+01,3.70e+01
1.14e+01,2.01e+01,2.60e+01
1.64e+01,2.01e+01,2.70e+01
7.43e+00,1.84e+01,3.00e+01
4.23e+00,2.07e+01,3.00e+01
1.69e+01,2.12e+01,3.10e+01
3.83e+00,1.99e+01,2.60e+01
1.04e+01,2.33e+01,2.40e+01
1.11e+01,2.01e+01,2.60e+01
1.85e+01,2.17e+01,2.60e+01
-8.01e+00,1.44e+01,2.10e+01
1.03e+01,1.89e+01,1.90e+01
1.98e+01,2.35e+01,2.10e+01
1.45e+01,2.01e+01,2.10e+01
1.17e+01,2.15e+01,1.80e+01
1.83e+01,2.20e+01,2.70e+01
6.66e+00,2.01e+01,2.90e+01
1.80e+01,1.99e+01,2.20e+01
1.97e+01,2.24e+01,3.20e+01
1.95e+01,2.05e+01,2.70e+01
1.68e+01,2.16e+01,2.60e+01
5.89e+00,2.01e+01,3.10e+01
1.10e+01,2.01e+01,1.90e+01
1.76e+01,1.98e+01,2.40e+01
1.87e+01,2.06e+01,2.20e+01
1.57e+01,1.92e+01,2.40e+01
1.35e+01,2.04e+01,2.90e+01
1.88e+01,2.01e+01,3.10e+01
1.25e+01,2.01e+01,2.10e+01
1.49e+01,1.99e+01,2.90e+01
1.17e+01,2.01e+01,3.10e+01
1.98e+01,2.25e+01,2.80e+01
1.11e+00,2.21e+01,2.50e+01
1.63e+01,2.14e+01,3.00e+01
1.90e+01,3.01e+01,3.00e+01
1.21e+01,2.01e+01,2.40e+01
1.11e+01,2.23e+01,1.80e+01
1.33e+01,2.42e+01,2.20e+01
1.30e+01,2.27e+01,2.30e+01
1.81e+01,2.01e+01,2.30e+01
1.73e+01,1.96e+01,2.40e+01
1.62e+01,2.01e+01,2.50e+01
1.50e+01,1.82e+01,2.10e+01
1.81e+01,1.99e+01,2.50e+01
1.60e+01,2.45e+01,2.20e+01
1.79e+01,2.01e+01,2.70e+01
6.21e+00,2.05e+01,2.00e+01
1.81e+01,2.00e+01,2.40e+01
1.97e+01,2.03e+01,3.10e+01
1.79e+01,1.96e+01,2.50e+01
1.84e+01,2.02e+01,3.00e+01
8.24e+00,2.11e+01,2.20e+01
1.66e+01,2.09e+01,2.60e+01
1.83e+01,2.01e+01,3.10e+01
1.12e+01,2.01e+01,2.90e+01
1.81e+01,1.99e+01,3.20e+01
5.25e+00,1.90e+01,2.50e+01
1.63e+01,2.02e+01,2.10e+01
1.46e+00,2.05e+01,2.10e+01
1.91e+00,2.01e+01,2.50e+01
9.21e+00,1.89e+01,2.00e+01
3.64e+00,1.99e+01,2.30e+01
1.23e+01,1.95e+01,2.10e+01
2.02e+01,2.14e+01,3.10e+01
4.84e+00,1.58e+01,2.30e+01
5.90e+00,1.64e+01,2.40e+01
1.85e+01,2.20e+01,2.20e+01
1.95e+01,2.09e+01,2.60e+01
1.81e+01,2.01e+01,2.20e+01
7.14e+00,1.43e+01,2.30e+01
1.85e+01,2.14e+01,3.10e+01
2.00e+01,2.07e+01,2.60e+01
1.82e+01,2.02e+01,2.90e+01
8.94e+00,2.01e+01,2.50e+01
6.22e+00,2.29e+01,2.80e+01
1.49e+01,2.01e+01,2.70e+01
1.90e+01,2.01e+01,2.10e+01
1.40e+01,2.12e+01,2.30e+01
3.41e+00,1.95e+01,2.40e+01
1.95e+01,2.05e+01,2.50e+01
1.74e+00,2.07e+01,2.70e+01
9.35e+00,2.17e+01,2.40e+01
9.26e+00,2.03e+01,2.40e+01
1.11e+01,2.01e+01,2.40e+01
1.66e+01,2.19e+01,2.40e+01
1.01e+01,2.07e+01,1.70e+01
8.63e+00,2.29e+01,3.60e+01
6.56e+00,2.01e+01,2.10e+01
4.36e+00,2.00e+01,2.40e+01
1.51e+01,1.99e+01,2.20e+01
1.65e+01,2.02e+01,2.80e+01
1.36e+01,2.01e+01,2.50e+01
1.67e+01,2.01e+01,2.80e+01
1.92e+01,2.15e+01,1.90e+01
1.80e+01,2.01e+01,2.70e+01
1.43e+01,2.01e+01,2.10e+01
1.87e+01,1.97e+01,2.70e+01
1.06e+01,1.77e+01,2.90e+01
1.78e+01,2.05e+01,2.70e+01
1.62e+01,2.06e+01,2.40e+01
1.28e+01,2.08e+01,2.40e+01
1.72e+01,2.53e+01,2.10e+01
1.83e+01,2.02e+01,2.10e+01
1.95e+01,2.05e+01,2.40e+01
2.05e+01,2.13e+01,3.00e+01
1.11e+01,2.01e+01,3.40e+01
1.42e+01,2.23e+01,3.10e+01
-1.23e+01,2.34e+00,2.40e+01
9.55e+00,1.88e+01,2.60e+01
1.50e+01,2.06e+01,2.00e+01
1.13e+01,2.15e+01,2.20e+01
2.70e+00,1.97e+01,2.70e+01
1.95e+01,2.13e+01,1.90e+01
